"segment_title";"question_nmbr";"question_titl";"question_hint";"question_lvls";"question_lvds"
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con un equipo social dedicado que respalda el marketing, las ventas, el servicio al cliente y el desarrollo de productos."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Contamos con un administrador social o comunitario responsable de construir y administrar nuestra presencia social."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Los equipos de relaciones públicas y marketing comparten recursos para publicar contenido en los canales sociales."
"Social";"Pregunta 2 de 3";"¿Qué tan bien se integran las redes sociales en los esfuerzos de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Las comunicaciones corporativas controlan nuestro uso de las redes sociales."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Las métricas se controlan en tiempo real y se correlacionan con los resultados comerciales para permitir la optimización de la campaña."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"El seguimiento y la medición de las redes sociales se basan en métricas, puntos de referencia e indicadores clave de rendimiento empresarial específicos del canal."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Las métricas se establecen de antemano en función del rendimiento de la campaña anterior o la inteligencia competitiva."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Las métricas se crean directamente a partir de las redes sociales, como me gusta, acciones y retweets."
"Social";"Pregunta 3 de 3";"¿Qué tan bueno eres para hacer un seguimiento de los resultados y demostrar el ROI en los esfuerzos de marketing social?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Realizamos un seguimiento de los cambios en las menciones de la marca, el porcentaje de voz o el sentimiento."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Tenemos una mentalidad de móvil siempre y ampliamos el uso del móvil en las ventas sociales y el servicio al cliente."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Usamos un conjunto integrado de herramientas de automatización de marketing."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Hemos automatizado algunos procesos como SMS, correo electrónico, alertas de mensajería móvil y campañas promocionales."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Gestionamos nuestras actividades de campaña y análisis de datos principalmente en hojas de cálculo."
"Móvil";"Pregunta 1 de 3";"¿Qué tan bien integrada está su estrategia de marketing móvil con otras actividades de marketing digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Vemos el móvil como otro número al que llamar para telemarketing."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Informamos opciones de crecimiento estratégico con la inteligencia que creamos a partir de nuestra recopilación de datos."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Realizamos un seguimiento del rendimiento en todos los canales y utilizamos análisis predictivos para determinar las necesidades futuras."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Podemos optimizar múltiples campañas móviles en tiempo real y tener políticas de propiedad de datos bien definidas."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Realizamos un seguimiento del rendimiento de campañas móviles individuales."
"Móvil";"Pregunta 2 de 3";"¿Qué tan bien está recopilando y utilizando la información?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Dependemos de pruebas e informes ad hoc, si los hay."
"Móvil";"Pregunta 3 de 3";"¿Cómo está utilizando la tecnología para respaldar la estrategia de marketing móvil?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Hemos perfeccionado el diseño de sitios web receptivos y una estrategia de aplicación nativa altamente refinada que proporciona un mayor ROI."
"Móvil";"Pregunta 3 de 3";"¿Cómo está utilizando la tecnología para respaldar la estrategia de marketing móvil?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Podemos lanzar comercio en la aplicación y anuncios personalizados a través de aplicaciones nativas o sitios habilitados para dispositivos móviles."
"Móvil";"Pregunta 3 de 3";"¿Cómo está utilizando la tecnología para respaldar la estrategia de marketing móvil?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Utilizamos la segmentación de datos de ubicación según la ubicación física (fuera de línea) o virtual (dirección IP en línea / etc.)."
"Móvil";"Pregunta 3 de 3";"¿Cómo está utilizando la tecnología para respaldar la estrategia de marketing móvil?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Apoyamos las preferencias de suscripción móvil y las ventanas emergentes en el sitio web principal."
"Móvil";"Pregunta 3 de 3";"¿Cómo está utilizando la tecnología para respaldar la estrategia de marketing móvil?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Usamos integración de tecnología de comunicaciones y bases de datos de clientes creadas para la era anterior a los teléfonos inteligentes."
"Comercio digital";"Pregunta 1 de 3";"¿Cómo describiría su estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Permitimos que los clientes compren cuándo, dónde y cómo quieran, diseñando su propia experiencia comercial."
"Comercio digital";"Pregunta 1 de 3";"¿Cómo describiría su estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Permitimos transacciones y apoyamos experiencias de comercio conectado a través de canales en línea y fuera de línea."
"Comercio digital";"Pregunta 1 de 3";"¿Cómo describiría su estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Diseñamos y ejecutamos comercio digital por el canal de comercio: Web y móvil."
"Comercio digital";"Pregunta 1 de 3";"¿Cómo describiría su estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Definimos el comercio digital como Web o comercio electrónico, y nos enfocamos principalmente en nuestro sitio web de comercio."
"Comercio digital";"Pregunta 1 de 3";"¿Cómo describiría su estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Consideramos que el comercio digital es tangencial y el marketing para el comercio digital es limitado o inexistente."
"Comercio digital";"Pregunta 2 de 3";"¿Qué tan bien ha diseñado la experiencia del cliente?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Usamos datos para conectar y personalizar la experiencia de comercio digital en línea y fuera de línea."
"Comercio digital";"Pregunta 2 de 3";"¿Qué tan bien ha diseñado la experiencia del cliente?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Usamos tecnología digital para atraer compradores y conectar experiencias comerciales en línea y fuera de línea."
"Comercio digital";"Pregunta 2 de 3";"¿Qué tan bien ha diseñado la experiencia del cliente?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Permitimos a los clientes navegar y comprar en la Web y en dispositivos móviles, pero las experiencias no están conectadas."
"Comercio digital";"Pregunta 2 de 3";"¿Qué tan bien ha diseñado la experiencia del cliente?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Permitimos a los clientes navegar y comprar en la Web, pero mantenemos procesos internos manuales."
"Comercio digital";"Pregunta 2 de 3";"¿Qué tan bien ha diseñado la experiencia del cliente?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Permitimos que los clientes nos descubran, investiguen y evalúen a través de nuestro sitio web, pero deben comprar fuera de línea."
"Comercio digital";"Pregunta 3 de 3";"¿Qué tácticas utilizas para optimizar la estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Utilizamos datos en tiempo real y análisis predictivo para desencadenar una automatización de marketing y un comercio personalizado."
"Comercio digital";"Pregunta 3 de 3";"¿Qué tácticas utilizas para optimizar la estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Nos enfocamos en tácticas, como las revisiones, para impulsar la conversión, no solo el tráfico, al mejorar la experiencia comercial."
"Comercio digital";"Pregunta 3 de 3";"¿Qué tácticas utilizas para optimizar la estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Usamos todas las tácticas anteriores, así como incentivos, no solo descuentos, para generar visitas nuevas y repetidas."
"Comercio digital";"Pregunta 3 de 3";"¿Qué tácticas utilizas para optimizar la estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Usamos inbound (búsqueda, anuncios sociales y digitales) y outbound (correo electrónico, mensajería móvil) para encontrar y ser encontrado."
"Comercio digital";"Pregunta 3 de 3";"¿Qué tácticas utilizas para optimizar la estrategia de comercio digital?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Intentamos dirigir el tráfico al sitio mediante tácticas promocionales de salida (correo electrónico y carteles en la tienda)."
"Conducida por datos";"Pregunta 1 de 3";"¿Qué tan robustos son los sistemas para respaldar una estrategia de marketing basada en datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Logramos una ventaja comercial a través de nuestros modelos y algoritmos personalizados."
"Conducida por datos";"Pregunta 1 de 3";"¿Qué tan robustos son los sistemas para respaldar una estrategia de marketing basada en datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Existen sistemas de automatización de marketing para contextos B2B y B2C."
"Conducida por datos";"Pregunta 1 de 3";"¿Qué tan robustos son los sistemas para respaldar una estrategia de marketing basada en datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"El personal utiliza principalmente modelos analíticos de nivel empresarial listos para usar."
"Conducida por datos";"Pregunta 1 de 3";"¿Qué tan robustos son los sistemas para respaldar una estrategia de marketing basada en datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Los paneles están en Excel o copiados de una herramienta básica como Google Analytics o MailChimp."
"Conducida por datos";"Pregunta 1 de 3";"¿Qué tan robustos son los sistemas para respaldar una estrategia de marketing basada en datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Los gerentes compilan informes manualmente en Excel, generalmente para una reunión de recapitulación mensual."
"Conducida por datos";"Pregunta 2 de 3";"¿Qué tan bien gestiona sus datos de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Los registros de datos continuamente actualizados alimentan un motor de análisis y procesos de automatización de marketing."
"Conducida por datos";"Pregunta 2 de 3";"¿Qué tan bien gestiona sus datos de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Disponemos de datos sólidos de clientes, prospectos y visitantes para personalizarlos y crear modelos de atribución."
"Conducida por datos";"Pregunta 2 de 3";"¿Qué tan bien gestiona sus datos de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Nuestros conjuntos de datos nos ayudan a explorar programas de reorientación y ofertas en tiempo real en los intercambios de anuncios."
"Conducida por datos";"Pregunta 2 de 3";"¿Qué tan bien gestiona sus datos de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"El equipo usa datos históricos. La segmentación se basa en datos demográficos de alto nivel."
"Conducida por datos";"Pregunta 2 de 3";"¿Qué tan bien gestiona sus datos de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Los datos residen en silos tecnológicos con poca integración."
"Conducida por datos";"Pregunta 3 de 3";"¿Tiene las habilidades adecuadas a bordo para aprovechar al máximo sus datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Contamos con un equipo de profesionales de análisis líder en la industria que nos brinda una diferenciación competitiva."
"Conducida por datos";"Pregunta 3 de 3";"¿Tiene las habilidades adecuadas a bordo para aprovechar al máximo sus datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Contamos con modelos y algoritmos sofisticados que nos ayudan a predecir el comportamiento del comprador y priorizar las inversiones."
"Conducida por datos";"Pregunta 3 de 3";"¿Tiene las habilidades adecuadas a bordo para aprovechar al máximo sus datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"El equipo se ha ampliado en profundidad y rigor, e incluye al menos una persona con habilidades analíticas avanzadas."
"Conducida por datos";"Pregunta 3 de 3";"¿Tiene las habilidades adecuadas a bordo para aprovechar al máximo sus datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Existe un sesgo hacia el desarrollo y la formación cruzada del talento interno, en lugar de depender de las agencias."
"Conducida por datos";"Pregunta 3 de 3";"¿Tiene las habilidades adecuadas a bordo para aprovechar al máximo sus datos?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Los profesionales tienden a centrarse en proyectos de mejora únicos en lugar de operaciones de marketing en curso."
"Operaciones";"Pregunta 1 de 3";"¿Qué tan bien establecidos están los procesos para respaldar las operaciones de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"La organización ha simplificado la toma de decisiones en torno al diseño de procesos para respaldar el cambio y la innovación."
"Operaciones";"Pregunta 1 de 3";"¿Qué tan bien establecidos están los procesos para respaldar las operaciones de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"4";"Operaciones tiene políticas y procedimientos para respaldar el marketing en tiempo real."
"Operaciones";"Pregunta 1 de 3";"¿Qué tan bien establecidos están los procesos para respaldar las operaciones de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"3";"Hemos desarrollado procesos de marketing integrados. Las políticas formales gobiernan muchas decisiones y actividades."
"Operaciones";"Pregunta 1 de 3";"¿Qué tan bien establecidos están los procesos para respaldar las operaciones de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"2";"Los departamentos trabajan juntos para desarrollar procesos débilmente acoplados y compartir las mejores prácticas."
"Operaciones";"Pregunta 1 de 3";"¿Qué tan bien establecidos están los procesos para respaldar las operaciones de marketing?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"1";"Inventamos o duplicamos un proceso mediante prueba y error para cada tarea."
"Operaciones";"Pregunta 2 de 3";"¿Qué tan avanzados son los sistemas para respaldar las operaciones de marketing en tiempo real?";"Utilice los controles deslizantes para identificar su madurez actual y deseada.";"5";"Podemos cambiar los procesos de marketing sobre la marcha, lo que nos brinda una mayor agilidad y las ventajas de ser el primero en moverse."
